pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,datetime
599.4,4267,-8.5,-10.0,245.0,28.0,25.3766180370262,11.833311328739576,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
576.2,4572,-9.3,-10.9,225.0,29.0,20.506096654409877,20.506096654409884,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
558.0,4821,-9.9,-11.6,229.0,36.0,27.169544888019793,23.61812504365826,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
553.9,4877,-10.2,-11.9,230.0,37.0,28.343644395402183,23.78314155840196,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
511.5,5486,-13.4,-14.8,225.0,57.0,40.30508652763321,40.305086527633215,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
500.0,5660,-14.3,-15.7,225.0,57.0,40.30508652763321,40.305086527633215,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
471.7,6096,-16.9,-18.6,225.0,61.0,43.13351365237939,43.133513652379406,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
430.0,6790,-21.1,-23.1,228.0,63.0,46.818124005075845,42.155228200608065,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
400.0,7320,-24.9,-26.7,230.0,65.0,49.792888802733565,41.78119462962506,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
383.7,7620,-27.0,-28.6,230.0,68.0,52.0910221320905,43.709557458684685,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
371.0,7864,-28.7,-30.1,230.0,70.0,53.62311101832845,44.995132678057765,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
309.0,9144,-38.9,-41.6,230.0,79.0,60.51751100639925,50.78022116523662,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
300.0,9350,-40.5,-43.4,230.0,79.0,60.51751100639925,50.78022116523662,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
296.0,9441,-41.3,-45.1,230.0,80.0,61.28355544951823,51.42300877492316,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
279.0,9838,-44.1,-46.4,230.0,82.0,62.81564433575619,52.708583994296234,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
269.8,10058,-46.1,-48.8,230.0,84.0,64.34773322199415,53.99415921366931,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
253.0,10483,-50.1,-53.4,234.0,81.0,65.53037654437074,47.61060543569033,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
250.0,10560,-50.7,-54.2,235.0,81.0,66.35131558740832,46.45969134443476,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
245.9,10668,-51.5,-55.1,235.0,80.0,65.53216354311932,45.88611490808371,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
234.0,10988,-53.7,-57.6,235.0,83.0,67.9896196759863,47.60684421713685,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
227.0,11183,-55.1,-58.1,235.0,85.0,69.62792376456429,48.75399708983894,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
223.6,11278,-55.8,-59.7,235.0,86.0,70.44707580885327,49.32757352618999,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
220.0,11382,-56.5,-61.5,230.0,83.0,63.58168877887517,53.35137160398278,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
217.0,11470,-56.3,-63.3,228.0,83.0,61.68102051462373,55.537840327785226,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
208.0,11739,-55.7,-60.7,223.0,84.0,57.28786224524986,61.43371093601033,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
203.2,11887,-54.6,-65.3,220.0,85.0,54.636946823355835,65.11377766511313,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
203.0,11895,-54.5,-65.5,220.0,85.0,54.636946823355835,65.11377766511313,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
200.0,11990,-54.9,-66.9,225.0,86.0,60.81118318204308,60.8111831820431,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
186.0,12452,-56.5,-66.5,231.0,89.0,69.16599056967038,56.009514803435565,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
176.0,12803,-55.5,-72.1,235.0,91.0,74.54283603029823,52.19545570794522,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
174.0,12875,-55.3,-73.3,235.0,91.0,74.54283603029823,52.19545570794522,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
167.8,13106,-56.9,-75.8,235.0,91.0,74.54283603029823,52.19545570794522,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
167.0,13136,-57.1,-76.1,236.0,90.0,74.61338152995377,50.32736131236719,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
160.0,13408,-54.3,-80.3,245.0,84.0,76.1298541110786,35.49993398621873,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
159.9,13411,-54.3,-80.3,245.0,84.0,76.1298541110786,35.49993398621873,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
152.5,13716,-55.6,-82.6,230.0,67.0,51.32497768897152,43.06676984899814,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
152.0,13736,-55.7,-82.7,229.0,69.0,52.07496103537127,45.268073000345005,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
150.0,13820,-55.5,-82.5,225.0,75.0,53.03300858899106,53.03300858899107,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
146.0,13992,-55.5,-84.5,229.0,76.0,57.35792809693067,49.860486203278555,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
145.3,14021,-54.9,-84.5,230.0,76.0,58.21937767704232,48.851858336177,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
143.0,14125,-52.5,-84.5,230.0,74.0,56.68728879080437,47.56628311680392,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
120.2,15240,-56.3,-85.3,235.0,52.0,42.59590630302756,29.825974690254412,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
120.0,15248,-56.3,-85.3,240.0,53.0,45.89934640057523,26.500000000000025,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
108.0,15919,-54.7,-86.7,244.0,49.0,44.04090826865917,21.48018619266481,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
104.1,16154,-55.4,-86.9,245.0,47.0,42.59646599072255,19.86305830181286,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
100.0,16410,-56.1,-87.1,235.0,37.0,30.30862563869269,21.222328144988715,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
94.5,16764,-57.7,-87.8,235.0,37.0,30.30862563869269,21.222328144988715,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
88.2,17202,-59.7,-88.7,224.0,36.0,25.007701336523905,25.89623281219144,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
85.8,17374,-59.1,-88.8,220.0,35.0,22.497566339028875,26.81155550916423,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
84.9,17441,-58.9,-88.9,224.0,34.0,23.61838459560591,24.45755321151414,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
81.7,17678,-60.8,-89.5,240.0,32.0,27.712812921102028,16.000000000000014,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
78.1,17961,-63.1,-90.1,231.0,28.0,21.760086920795175,17.62097094939546,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
77.8,17983,-63.0,-90.1,230.0,28.0,21.44924440733138,17.998053071223104,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
74.1,18288,-61.6,-90.0,250.0,41.0,38.527397452222246,14.02282587635241,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
70.5,18593,-60.1,-89.9,265.0,37.0,36.85920382939459,3.224762481663355,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
70.0,18640,-59.9,-89.9,260.0,37.0,36.437886861451695,6.424982573676422,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
66.8,18933,-57.9,-89.9,265.0,33.0,32.874425037027606,2.876139510672722,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
64.0,19202,-59.8,-90.0,270.0,30.0,30.0,5.510910596163089e-15,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
62.1,19390,-61.1,-90.1,264.0,27.0,26.852091174943382,2.8222685082266405,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
61.0,19507,-57.9,-90.2,260.0,25.0,24.6201938253052,4.341204441673258,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
60.4,19564,-56.3,-90.3,257.0,27.0,26.30799174920135,6.073678467284362,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
58.9,19724,-56.1,-89.1,249.0,31.0,28.94099322141325,11.109406435904322,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
58.1,19812,-55.8,-89.3,245.0,34.0,30.8144647592461,14.369020899183772,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
55.6,20091,-54.9,-89.9,268.0,33.0,32.97989729163016,1.151683391182525,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
55.4,20117,-55.1,-89.9,270.0,33.0,33.0,6.062001655779398e-15,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
52.8,20422,-57.8,-90.3,320.0,11.0,7.070663706551936,-8.426488874308756,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
50.3,20726,-60.4,-90.7,280.0,4.0,3.9392310120488325,-0.6945927106677199,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
50.0,20760,-60.7,-90.7,260.0,8.0,7.878462024097664,1.3891854213354426,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
48.6,20937,-61.1,-91.1,260.0,9.0,8.863269777109872,1.562833599002373,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
